date,mvrv,mvrv_minus_1,btc_price_usd,realized_price_usd
2011-02-01,4.0,3.0,0.52,0.13
2011-02-02,4.93,3.93,0.69,0.14
2011-02-03,4.64,3.64,0.65,0.14
2011-02-04,4.79,3.79,0.67,0.14
2011-02-05,5.8,4.8,0.81,0.14
2011-02-06,5.53,4.53,0.83,0.15
2011-02-07,5.19,4.19,0.83,0.16
2011-02-08,5.39,4.39,0.86,0.16
2011-02-09,5.13,4.13,0.82,0.16
2011-02-10,4.71,3.71,0.8,0.17
2011-02-11,5.45,4.45,0.93,0.17
2011-02-12,5.83,4.83,0.99,0.17
2011-02-13,5.67,4.67,1.02,0.18
2011-02-14,5.44,4.44,1.03,0.19
2011-02-15,5.45,4.45,1.04,0.19
2011-02-16,5.37,4.37,1.02,0.19
2011-02-17,5.37,4.37,1.02,0.19
2011-02-18,4.11,3.11,0.78,0.19
2011-02-19,4.19,3.19,0.84,0.2
2011-02-20,4.15,3.15,0.83,0.2
2011-02-21,4.16,3.16,0.83,0.2
2011-02-22,4.16,3.16,0.83,0.2
2011-02-23,4.34,3.34,0.87,0.2
2011-02-24,4.29,3.29,0.9,0.21
2011-02-25,4.34,3.34,0.91,0.21
2011-02-26,4.34,3.34,0.91,0.21
2011-02-27,4.05,3.05,0.89,0.22
2011-02-28,3.84,2.84,0.85,0.22
2011-03-01,3.4,2.4,0.85,0.25
2011-03-02,3.64,2.64,0.91,0.25
2011-03-03,3.64,2.64,0.91,0.25
2011-03-04,3.46,2.46,0.9,0.26
2011-03-05,3.12,2.12,0.81,0.26
2011-03-06,3.12,2.12,0.81,0.26
2011-03-07,3.25,2.25,0.85,0.26
2011-03-08,3.27,2.27,0.85,0.26
2011-03-09,3.27,2.27,0.85,0.26
2011-03-10,3.27,2.27,0.85,0.26
2011-03-11,3.31,2.31,0.86,0.26
2011-03-12,3.26,2.26,0.88,0.27
2011-03-13,3.3,2.3,0.89,0.27
2011-03-14,3.26,2.26,0.88,0.27
